                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.50296,                0.44357,                 1.0248,                0.91427,                0.87542,                0.93288,                0.76399,                0.82298,                0.54506,                 1.2699,             0.00019784,             0.00019784,             0.00019784
                    125,                0.51037,                0.45349,                 1.0333,                0.90788,                0.88575,                0.92558,                0.75253,                0.85208,                 0.6323,                 1.3135,             0.00019674,             0.00019674,             0.00019674
                    126,                0.50296,                0.45026,                 1.0293,                0.90758,                0.89962,                0.92198,                0.74395,                0.83219,                0.60309,                 1.2806,             0.00019564,             0.00019564,             0.00019564
                    127,                0.50325,                0.44194,                 1.0253,                0.92641,                 0.8834,                0.93356,                0.75428,                0.86153,                0.58074,                 1.3347,             0.00019454,             0.00019454,             0.00019454
                    128,                0.51288,                0.44088,                 1.0283,                0.90771,                0.89342,                0.92928,                0.75043,                0.85269,                0.61583,                 1.3049,             0.00019344,             0.00019344,             0.00019344
                    129,                0.50789,                0.45744,                 1.0276,                0.92018,                0.88492,                0.95235,                0.78768,                0.76103,                0.56077,                 1.2126,             0.00019234,             0.00019234,             0.00019234
                    130,                0.50789,                0.45406,                 1.0225,                0.91067,                0.89217,                0.95057,                0.77776,                0.84073,                0.55781,                 1.2923,             0.00019124,             0.00019124,             0.00019124
                    131,                0.50314,                0.45123,                 1.0287,                 0.9373,                0.85856,                0.93843,                0.76304,                0.85966,                0.59614,                  1.333,             0.00019014,             0.00019014,             0.00019014
                    132,                0.50319,                0.45226,                 1.0258,                0.91354,                0.87284,                 0.9287,                0.75811,                0.82463,                0.60032,                 1.2839,             0.00018904,             0.00018904,             0.00018904
                    133,                0.50763,                0.44838,                 1.0329,                0.93761,                0.88856,                0.94532,                0.77323,                0.83539,                0.56548,                 1.3114,             0.00018795,             0.00018795,             0.00018795
                    134,                0.50542,                0.44893,                 1.0272,                0.92001,                0.88034,                0.93089,                0.76864,                0.80736,                0.58587,                 1.2787,             0.00018685,             0.00018685,             0.00018685
                    135,                0.49704,                0.43265,                 1.0251,                0.92541,                0.89671,                0.94077,                0.76469,                0.86124,                0.57298,                 1.3197,             0.00018575,             0.00018575,             0.00018575
                    136,                0.49968,                0.42781,                 1.0221,                0.95218,                0.87488,                0.95462,                0.79323,                0.78114,                0.51076,                 1.2471,             0.00018465,             0.00018465,             0.00018465
                    137,                0.49058,                0.42096,                 1.0204,                0.90523,                0.90634,                0.94015,                0.78142,                0.77754,                0.54295,                 1.2517,             0.00018355,             0.00018355,             0.00018355
                    138,                0.50037,                0.43912,                 1.0195,                0.90588,                0.88307,                0.92738,                0.77228,                0.78984,                0.60205,                 1.2403,             0.00018245,             0.00018245,             0.00018245
                    139,                0.49563,                0.44585,                 1.0247,                0.94473,                0.87367,                0.94144,                0.77751,                0.83101,                0.55692,                 1.2922,             0.00018135,             0.00018135,             0.00018135
                    140,                0.48483,                0.41799,                 1.0142,                0.93894,                0.89534,                0.95439,                0.77718,                0.85372,                0.54303,                 1.3388,             0.00018025,             0.00018025,             0.00018025
                    141,                0.49415,                0.45174,                 1.0236,                0.93538,                0.88437,                0.94557,                0.76303,                 0.8789,                 0.5836,                 1.3431,             0.00017915,             0.00017915,             0.00017915
                    142,                0.48996,                0.41815,                 1.0195,                0.91212,                0.85752,                0.93144,                0.77172,                0.80359,                0.58508,                  1.268,             0.00017806,             0.00017806,             0.00017806
                    143,                0.48401,                 0.4263,                 1.0164,                0.88603,                0.88754,                0.92984,                0.75488,                0.86523,                0.61151,                 1.3335,             0.00017696,             0.00017696,             0.00017696
                    144,                0.48884,                0.43151,                 1.0218,                0.89636,                0.87848,                0.93524,                0.77363,                0.78922,                0.59045,                 1.2572,             0.00017586,             0.00017586,             0.00017586
                    145,                0.48528,                0.42423,                 1.0159,                0.86898,                  0.867,                0.91517,                0.74558,                0.81295,                 0.6134,                 1.2825,             0.00017476,             0.00017476,             0.00017476
                    146,                0.48343,                0.41347,                 1.0172,                0.89101,                0.86064,                0.92586,                0.75696,                0.81116,                 0.5941,                 1.2566,             0.00017366,             0.00017366,             0.00017366
                    147,                0.49546,                0.43463,                 1.0134,                0.89342,                0.87665,                0.93595,                0.76428,                0.82936,                0.60047,                 1.2811,             0.00017256,             0.00017256,             0.00017256
                    148,                0.48143,                0.41427,                  1.013,                0.93413,                0.87139,                0.93954,                0.78292,                0.77873,                0.52943,                 1.2482,             0.00017146,             0.00017146,             0.00017146
                    149,                0.48079,                0.40972,                  1.011,                0.92584,                0.87284,                0.94081,                0.78238,                0.78173,                0.54781,                 1.2461,             0.00017036,             0.00017036,             0.00017036
                    150,                0.47879,                0.40651,                 1.0061,                0.93218,                0.88404,                0.93802,                0.77356,                0.79012,                0.54065,                 1.2501,             0.00016926,             0.00016926,             0.00016926
                    151,                0.48591,                0.41648,                 1.0235,                0.93203,                0.86509,                0.95485,                0.77937,                0.84536,                0.53619,                 1.3064,             0.00016817,             0.00016817,             0.00016817
                    152,                  0.488,                0.40462,                 1.0123,                0.92594,                0.87193,                 0.9452,                0.78611,                0.80501,                0.57363,                 1.2635,             0.00016707,             0.00016707,             0.00016707
